Date,Price,Percentage,Price
1/5/2024,4.681,5%,95.319
1/4/2024,4.784,5%,95.216
1/3/2024,4.349,4%,95.651
1/2/2024,4.382,4%,95.618
1/1/2024,4.173,4%,95.827
1/12/2023,4.019,4%,95.981
1/11/2023,4.497,4%,95.503
1/10/2023,5.09,5%,94.91
1/9/2023,4.709,5%,95.291
1/8/2023,4.209,4%,95.791
1/7/2023,4.014,4%,95.986
1/6/2023,3.864,4%,96.136
1/5/2023,3.859,4%,96.141
1/4/2023,3.682,4%,96.318
1/3/2023,3.651,4%,96.349
1/2/2023,3.924,4%,96.076
1/1/2023,3.635,4%,96.365
1/12/2022,3.975,4%,96.025
1/11/2022,3.745,4%,96.255
1/10/2022,4.163,4%,95.837
1/9/2022,3.781,4%,96.219
1/8/2022,3.299,3%,96.701
1/7/2022,3.012,3%,96.988
1/6/2022,3.184,3%,96.816
1/5/2022,3.056,3%,96.944
1/4/2022,2.996,3%,97.004
1/3/2022,2.453,2%,97.547
1/2/2022,2.159,2%,97.841
1/1/2022,2.116,2%,97.884
1/12/2021,1.905,2%,98.095
1/11/2021,1.803,2%,98.197
1/10/2021,1.939,2%,98.061
1/9/2021,2.05,2%,97.95
1/8/2021,1.928,2%,98.072
1/7/2021,1.895,2%,98.105
1/6/2021,2.088,2%,97.912
1/5/2021,2.263,2%,97.737
1/4/2021,2.298,2%,97.702
1/3/2021,2.415,2%,97.585
1/2/2021,2.154,2%,97.846
1/1/2021,1.835,2%,98.165
1/12/2020,1.646,2%,98.354
1/11/2020,1.569,2%,98.431
1/10/2020,1.658,2%,98.342
1/9/2020,1.454,1%,98.546
1/8/2020,1.476,1%,98.524
1/7/2020,1.196,1%,98.804
1/6/2020,1.413,1%,98.587
1/5/2020,1.411,1%,98.589
1/4/2020,1.293,1%,98.707
1/3/2020,1.316,1%,98.684
1/2/2020,1.684,2%,98.316
1/1/2020,1.997,2%,98.003
1/12/2019,2.389,2%,97.611
1/11/2019,2.203,2%,97.797
1/10/2019,2.173,2%,97.827
1/9/2019,2.114,2%,97.886
1/8/2019,1.963,2%,98.037
1/7/2019,2.521,3%,97.479
1/6/2019,2.533,3%,97.467
1/5/2019,2.571,3%,97.429
1/4/2019,2.93,3%,97.07
1/3/2019,2.816,3%,97.184
1/2/2019,3.082,3%,96.918
1/1/2019,2.997,3%,97.003
1/12/2018,3.02,3%,96.98
1/11/2018,3.294,3%,96.706
