,,,,Log Price,Log Price,Log Price
Date,Close Price Gold,Close Price S&P500,HPI Seasonal Adjusted,Log Close Price Gold,Log Close Price S&P500,Log HPI Seasonal Adjusted
1/1/1991,368.5,343.9,100,2.566437492,2.536432176,2
2/1/1991,370.7,367.1,100.45,2.569022586,2.564784385,2.001949941
3/1/1991,359.4,375.2,100.48,2.555578073,2.57426283,2.002079626
4/1/1991,359.5,375.4,100.33,2.555698895,2.574494268,2.001430812
5/1/1991,364.8,389.8,100.38,2.56205483,2.590841835,2.001647191
6/1/1991,371.7,371.2,100.51,2.570192561,2.569607968,2.002209273
7/1/1991,367.2,387.8,100.54,2.564902673,2.588607805,2.002338881
8/1/1991,351.3,395.4,100.38,2.54567815,2.597036665,2.001647191
9/1/1991,357.3,387.9,100.61,2.553033016,2.58871978,2.002641149
10/1/1991,360.9,392.5,100.92,2.557386882,2.593839661,2.003977242
11/1/1991,371.1,375.2,101.41,2.569490954,2.57426283,2.006080783
12/1/1991,356.3,417.1,101.89,2.551815822,2.62024019,2.008131562
1/1/1992,358.9,408.8,102.23,2.554973458,2.611510887,2.009578361
2/1/1992,355.2,412.7,102.97,2.550472957,2.615634469,2.012710713
3/1/1992,345.5,403.7,102.81,2.538448052,2.606058749,2.012035359
4/1/1992,338.8,414.9,102.56,2.529943402,2.617943435,2.010978012
5/1/1992,338.4,415.4,102.59,2.529430354,2.618466492,2.01110503
6/1/1992,345.3,408.1,102.51,2.538196578,2.610766595,2.010766234
7/1/1992,359.4,424.2,102.86,2.555578073,2.627570664,2.01224652
8/1/1992,344.4,414,103.32,2.537063143,2.617000341,2.014184398
9/1/1992,349.4,417.8,103.71,2.543322901,2.620968436,2.015820634
10/1/1992,340.8,418.7,104.04,2.532499586,2.621902961,2.017200344
11/1/1992,335.5,431.4,104.28,2.525692525,2.634880141,2.018201022
12/1/1992,333.6,435.7,104.21,2.523226042,2.63918756,2.017909396
1/1/1993,330.7,438.8,104.26,2.519434195,2.642266619,2.018117721
2/1/1993,331.2,443.4,104.07,2.520090328,2.646795689,2.017325555
3/1/1993,339.3,451.7,104.38,2.53058386,2.654850091,2.018617293
4/1/1993,357.9,440.2,105.02,2.553761698,2.643650038,2.021272014
5/1/1993,380.3,450.2,105.25,2.580126325,2.653405491,2.022222105
6/1/1993,380.2,450.5,105.61,2.580012113,2.653694795,2.023705043
7/1/1993,409.2,448.1,105.67,2.611935625,2.651374944,2.023951707
8/1/1993,374.8,463.6,106.06,2.573799582,2.666143427,2.025551623
9/1/1993,357.1,458.9,106.45,2.55278985,2.661718058,2.027145666
10/1/1993,370.5,467.8,106.66,2.568788212,2.670060217,2.028001579
11/1/1993,371.9,461.8,106.99,2.570426178,2.664453929,2.029343188
12/1/1993,392.8,466.4,107.52,2.594171479,2.668758542,2.031489256
1/1/1994,383.6,481.6,107.77,2.583878598,2.682686478,2.032497883
2/1/1994,383.5,467.1,108.01,2.583765368,2.669409867,2.033463966
3/1/1994,394.3,445.8,108.37,2.595826777,2.649140064,2.034909073
4/1/1994,379.1,450.9,108.7,2.578753784,2.654080235,2.036229544
5/1/1994,390,456.5,109.05,2.591064607,2.659440782,2.03762567
6/1/1994,388.8,444.3,109.23,2.589726256,2.647676313,2.038341934
7/1/1994,386.1,458.3,109.36,2.586699802,2.661149857,2.038858502
8/1/1994,389.3,475.5,109.63,2.590284404,2.677150521,2.039929414
9/1/1994,397.6,462.7,109.7,2.599446376,2.665299499,2.040206628
10/1/1994,386.6,472.4,109.97,2.58726185,2.674309889,2.041274225
11/1/1994,384.5,453.7,110.2,2.584896344,2.656768779,2.042181595
12/1/1994,386.4,459.3,110.2,2.587037118,2.662096445,2.042181595
1/1/1995,377.7,470.4,110.51,2.577146985,2.672467313,2.043401579
2/1/1995,379.8,487.4,111.11,2.57955496,2.687885525,2.045753148
3/1/1995,394.3,500.7,110.94,2.595826777,2.699577591,2.045088162
4/1/1995,390.1,514.7,111.22,2.59117595,2.711554168,2.046182891
5/1/1995,387.6,533.4,111.36,2.588383768,2.727053011,2.046729222
6/1/1995,387.3,544.8,111.74,2.588047497,2.736237099,2.048208667
7/1/1995,385.4,562.1,112.25,2.58591171,2.749813585,2.05018635
8/1/1995,385.5,561.9,112.56,2.586024382,2.749659032,2.051384084
9/1/1995,386.5,584.4,112.79,2.587149498,2.766710207,2.052270597
10/1/1995,385.3,581.5,112.84,2.585799009,2.764549719,2.052463077
11/1/1995,388.6,605.4,113.07,2.589502796,2.782042417,2.053347392
12/1/1995,389.1,615.9,113.55,2.590061231,2.789510204,2.055187139
1/1/1996,408.5,636,113.97,2.611192061,2.803457116,2.056790548
2/1/1996,402.5,640.4,114.13,2.604765885,2.806451323,2.057399817
3/1/1996,398.4,645.5,114.55,2.60031933,2.809896247,2.058995094
4/1/1996,394.7,654.2,114.82,2.596267126,2.81571054,2.060017543
5/1/1996,394.4,669.1,115.07,2.595936906,2.82549103,2.060962113
6/1/1996,382.9,670.6,115.17,2.583085366,2.826463549,2.061339367
7/1/1996,390.5,640,115.56,2.591621038,2.806179974,2.062807533
8/1/1996,391.3,652,115.57,2.592509848,2.814247596,2.062845113
9/1/1996,380.5,687.3,115.86,2.580354661,2.837146344,2.063933524
10/1/1996,380.1,705.3,115.98,2.57989787,2.848373884,2.064383104
11/1/1996,375,757,116.29,2.574031268,2.87909588,2.065542371
12/1/1996,370.3,740.7,116.66,2.568553712,2.869642345,2.066921972
1/1/1997,346,786.2,116.8,2.539076099,2.895533039,2.067442843
2/1/1997,366.2,790.8,117.09,2.56371834,2.898066661,2.068519806
3/1/1997,354,757.1,117.56,2.549003262,2.879153246,2.070259577
4/1/1997,342.4,801.3,117.78,2.534533756,2.903795143,2.07107155
5/1/1997,347.5,848.3,118.21,2.540954809,2.928549467,2.072654217
6/1/1997,336.5,885.1,118.26,2.526985069,2.946992341,2.072837875
7/1/1997,326.5,954.3,118.57,2.513883186,2.979684924,2.07397482
8/1/1997,326.4,899.5,119,2.51375015,2.954001168,2.075546961
9/1/1997,336.9,947.3,119.17,2.527501011,2.976487537,2.076166939
10/1/1997,313.2,914.6,119.78,2.495821753,2.961231197,2.078384309
11/1/1997,298.6,955.4,120.17,2.475089803,2.980185237,2.079796061
12/1/1997,290.7,970.4,120.56,2.463445032,2.986950788,2.081203239
1/1/1998,304.6,980.3,121.02,2.483729899,2.991359003,2.082857149
2/1/1998,301,"1,049.30",121.87,2.478566496,3.020899673,2.085896811
3/1/1998,303.3,"1,101.80",122.28,2.48187241,3.042102768,2.08735543
4/1/1998,309,"1,111.80",122.84,2.489958479,3.04602667,2.089339808
5/1/1998,295.1,"1,090.80",123.32,2.469969209,3.037745129,2.091033516
6/1/1998,299.2,"1,133.80",124.1,2.475961589,3.054536453,2.093771781
7/1/1998,288.4,"1,120.70",124.43,2.459995256,3.049489372,2.094925101
8/1/1998,277.6,957.3,124.95,2.443419462,2.981048059,2.09673626
9/1/1998,299,"1,017.00",125.74,2.475671188,3.007320953,2.099473456
10/1/1998,294.7,"1,098.70",126.27,2.469380136,3.040879125,2.10130018
11/1/1998,295.1,"1,163.60",127.1,2.469969209,3.065803713,2.104145551
12/1/1998,290.2,"1,229.20",127.68,2.462697408,3.089622552,2.106122874
1/1/1999,288.2,"1,279.60",128.4,2.459693976,3.107074231,2.108565024
2/1/1999,289.2,"1,238.30",128.92,2.461198289,3.092825873,2.110320297
3/1/1999,281.9,"1,286.40",129.5,2.450095076,3.109376031,2.112269768
4/1/1999,288.7,"1,335.20",130.13,2.460446784,3.125546324,2.11437743
5/1/1999,272,"1,301.80",130.9,2.434568904,3.114544267,2.116939647
6/1/1999,264.3,"1,372.70",131.51,2.422097163,3.137575634,2.118958778
7/1/1999,257.6,"1,328.70",132.24,2.410945859,3.123426935,2.121362841
8/1/1999,257,"1,320.40",133.03,2.409933123,3.120705516,2.123949591
9/1/1999,299.5,"1,282.70",133.42,2.476396827,3.108125095,2.125220936
10/1/1999,301,"1,362.90",134.21,2.478566496,3.134463992,2.127784876
11/1/1999,293,"1,388.90",134.78,2.46686762,3.142670978,2.129625452
12/1/1999,290.7,"1,469.20",135.45,2.463445032,3.16708092,2.131779009
1/1/2000,286.2,"1,394.50",137.02,2.456669629,3.144418519,2.136783963
2/1/2000,295.4,"1,366.40",136.85,2.470410491,3.135577853,2.136244802
3/1/2000,281.4,"1,498.60",137.91,2.449324093,3.175685728,2.139595758
4/1/2000,276,"1,452.40",138.85,2.440909082,3.16208624,2.142545884
5/1/2000,274.8,"1,420.60",139.42,2.439016728,3.15247181,2.144325078
6/1/2000,293,"1,454.60",140.38,2.46686762,3.162743583,2.147305238
7/1/2000,280.2,"1,430.80",141.11,2.447468131,3.155578931,2.149557792
8/1/2000,280.8,"1,517.70",141.66,2.448397103,3.181185934,2.151247237
9/1/2000,276.9,"1,436.50",142.51,2.442322956,3.15730563,2.15384534
10/1/2000,267.7,"1,429.40",143.31,2.427648371,3.155153778,2.156276496
